Row,Column,Stability,Sci_Mean,Err_Mean,NaN_Count,Readnoise
0,0,1.2220247983932495,30.850187301635746,8.74200439453125,2.0,6.77666711807251
0,1,1.7944626808166504,18.37711524963379,7.904343128204347,0.0,6.668571949005128
0,2,1.9192044734954836,75.86537170410156,11.355701446533205,1.0,7.313119411468506
0,3,3.537255048751831,22.82162857055664,8.244080543518066,1.0,6.757133960723878
0,4,0.5828993916511536,39.81331253051758,9.389081001281738,1.0,6.967615604400635
0,5,0.8812804818153381,1170.380859375,37.08609008789063,1.0,14.061666488647461
0,6,9.802743911743164,21.751541137695312,8.192551612854004,1.0,6.800668716430664
0,7,7.0415472984313965,40.333656311035156,9.354437828063963,2.0,6.926795482635497
0,8,18.605558395385746,32.710662841796875,8.819293022155762,1.0,6.816052436828612
0,9,17.008672714233402,24.16140365600586,8.239629745483397,1.0,6.7012577056884775
